,message.sender_id,message.text,message.date,message.id,message.peer_id.channel_id
37,-1001466074174,"AND THERE IT IS, BTC FUCKED IT ALL UP, I AM ALL OUT OF LEVERAGED POSITIONS, STILL HAVE SPOT BUYS,",2021-05-07 04:40:37+00:00,70,1466074174
38,-1001466074174,"ETHUSDT- SHORT AND LONG PLAN 
https://www.tradingview.com/x/2Ftvv1BC/",2021-05-07 04:43:02+00:00,71,1466074174
39,-1001466074174,"55.5K HELD AGAIN, IF BTC CAN HOLD THIS, I AM SURE WE WILL SEE A MOVE TOWARDS 62K,",2021-05-07 06:47:58+00:00,72,1466074174
40,-1001466074174,"ALL THE SPOT BUYS LOOKING GOOD, WAITING FOR MORE PA TO DEVELOP BEFORE ENTERING LEVERAGED TRADES",2021-05-07 06:48:20+00:00,73,1466074174
41,-1001466074174,"CURRENT RUNNING SPOT TRADES : TRX, WIN,ATOM,GRT,ADAUSDT,",2021-05-07 06:49:09+00:00,74,1466074174
42,-1001466074174,"SNXUSDT - STILL AROUND ENTRY, YOU CAN STILL ENTER, THIS ONE IS YET TO PUMP
https://www.tradingview.com/x/b4brwGdI/",2021-05-07 06:50:22+00:00,75,1466074174
43,-1001466074174,TRX AND WIN ALREADY U P BY 15% SINCE YESTERDAY👌👌👌👌,2021-05-07 06:55:59+00:00,76,1466074174
44,-1001466074174,"HBARUSDT SPOT BUY, - THIS IS EASY 3-4X COIN, BUY HERE AROUND 0.3$ AND HOLD FOR 4-5 WEEKS,
https://www.tradingview.com/x/wK5thSxU/",2021-05-07 07:00:26+00:00,77,1466074174
45,-1001466074174,"1INCHUSDT- 3 MONTHS CONSOLIDATION BROKEN ON DAILY, RETESTED, ONLY WAY IS UP- TARGET 8-10-14-20, HOLD THIS ONE, IT WILL BE HUGE
https://www.tradingview.com/x/fhNXm8JQ/",2021-05-07 07:05:38+00:00,78,1466074174
46,-1001466074174,"ONTUSDT LONG SCALP PLAN
https://www.tradingview.com/x/NsMZ44vX/",2021-05-07 07:58:43+00:00,79,1466074174
47,-1001466074174,"SNXUSDT - I HOPE U GUYS ENTERED ON THE REMINDER, THIS ONE WILL BE BIG
https://www.tradingview.com/x/92GAJhz6/",2021-05-07 13:25:17+00:00,80,1466074174
48,-1001466074174,"GRTUSDT - STARTED MOVING
https://www.tradingview.com/x/j6VdvUbc/",2021-05-07 13:58:50+00:00,81,1466074174
49,-1001466074174,"ATOMUSDT- THERE IT GOES, BREAKING OUT, 10% UP FROM LAST NIGHT
https://www.tradingview.com/x/ZGJOkJ0q/",2021-05-07 15:22:44+00:00,82,1466074174
50,-1001466074174,"BALUSDT- THIS ONE IS TESTING PATIENCE, BUT RESULT WILL BE AWESOME, U CAN STILL BUY OR LONG IT NOW
https://www.tradingview.com/x/DDERCzqv/",2021-05-07 15:29:47+00:00,83,1466074174
51,-1001466074174,"WE GOT IN ON BIG COINS RIGHT BEFORE THE BREAKOUT IN LAST 2 DAYS, HOLD THEM AND TAKE SOME PROFIT AFTER EVERY 20% MOVE,",2021-05-07 15:33:55+00:00,84,1466074174
52,-1001466074174,RISK MANAGEMENT IS THE KING WHEN IT COMES TO TRADING,2021-05-07 15:34:04+00:00,85,1466074174
53,-1001466074174,ONLY WAY YOU WILL EARN MONEY IN TRADING IS IF YOU ARE GOOD AT RISK MANAGEMENT,2021-05-07 15:34:28+00:00,86,1466074174
54,-1001466074174,"EOSUSDT- AMONG MAJORS, THIS IS PROBABLY THE MOST BULLISH COIN, AND THIS IS HOW YOU CAN ENTER THE LONG- ALL U NEED IS PATIENCE, AND ARROW IS THE TRIGGER
https://www.tradingview.com/x/EJCFQpAF/",2021-05-07 15:39:44+00:00,87,1466074174
55,-1001466074174,EXPECT ATLEAST 3 X FROM HERE,2021-05-07 15:39:53+00:00,88,1466074174
56,-1001466074174,"ATOMUSDT- SHIIEEETTTTTT ALREADY UP MORE THAN 30% FROM LAST NIGHT
https://www.tradingview.com/x/eTDVxwFb/",2021-05-07 16:08:03+00:00,89,1466074174
57,-1001466074174,"LINAUSDT SPOT/LEVERAGED BUY: ENTER AT MARKET PRICE 0.103 , STOPLOSS 0.093, TARGET , 0.17
https://www.tradingview.com/x/H16935PB/",2021-05-08 03:02:03+00:00,90,1466074174
58,-1001466074174,"EOSUSDT LONG LAN UPDATE- FOLLOWED PERFECTLY,
https://www.tradingview.com/x/3rnDcYuf/",2021-05-08 03:07:18+00:00,91,1466074174
59,-1001466074174,"YFIIUSDT- CLOSE ABOVE 2811 AND SWING LONG TARGET WILL BE 7000 AND ABOVE
https://www.tradingview.com/x/IvDqqX5A/",2021-05-08 03:11:41+00:00,92,1466074174
60,-1001466074174,"No trades on weekends, it's always shitty price action",2021-05-09 14:14:14+00:00,93,1466074174
61,-1001466074174,Waiting for weekly open,2021-05-09 14:14:24+00:00,94,1466074174
62,-1001466074174,"markets looking good, waitin for couple of hours, and than will post couple of leverage trades",2021-05-10 07:59:36+00:00,95,1466074174
63,-1001466074174,"still on the sidelines, horrible PA,  nothing to work with , just holding the SPOT positions,",2021-05-10 14:15:05+00:00,96,1466074174
64,-1001466074174,"HEY GUYS, BACK TO THE CHART AND DESK, WAS DOWN WITH COVID, FEELING BETTER NOW!",2021-05-19 04:38:00+00:00,97,1466074174
65,-1001466074174,"BTCUSDT UPDATE- IF YOU TOOK IT, THIS IS WHERE I'D CLOSE MOST OF THE SHORT POSITION
https://www.tradingview.com/x/XfKHJBlh/",2021-05-19 04:40:48+00:00,98,1466074174
66,-1001466074174,"PRICE NEEDS TO HOLD HERE, OR ELSE 30K NEXT",2021-05-19 04:41:38+00:00,99,1466074174
67,-1001466074174,"BTCUSDT PLAN- THIS IS A BEARISH PLAN I AM LOOKING AT, NOT TAKING ANY POSITION YET
https://www.tradingview.com/x/3vGJQ1De/",2021-05-19 04:51:28+00:00,100,1466074174
68,-1001466074174,30K IS POSSIBLE IN COMING DAYS/WEEKS,2021-05-19 04:51:56+00:00,101,1466074174
69,-1001466074174,"BTCUSDT UPDATE- WELL IT HAPPENED RATHER QUICKLY
https://www.tradingview.com/x/CT4IM9HW/",2021-05-20 13:16:42+00:00,102,1466074174
70,-1001466074174,"ALREADY TAPPED 30K , I WILL WAIT FOR THIS WEEKLY CLOSE TO PLAN TO THE NEXT TRADE,",2021-05-20 13:17:18+00:00,103,1466074174
71,-1001466074174,"STAY TUNED, WILL SHARE UPCOMING BTC MOVE THAT I EXPECT TO HAPPEN IN COMING DAYS",2021-05-21 06:14:22+00:00,104,1466074174
72,-1001466074174,"BTCUSDT PLAN- I THINK WE STILL GO DOWN TO ATLEAST TAKE THE RECENT LOWS
https://www.tradingview.com/x/6wBCdjSg/",2021-05-21 06:24:48+00:00,105,1466074174
73,-1001466074174,NOT INTERESTED IN ALTS UNLESS I AM SURE BTC HAS CONSOLIDATED ENOUGH AND IS READY TO MAKE A MOVE UP,2021-05-21 06:25:27+00:00,106,1466074174
74,-1001466074174,"GOING TO KEEP MY SHORT THAT I OPENED AT 59K, WILL LET YOU GUYS KNOW WHEN TO OPEN THE SHORT, IF I AM AT THE DESK, OR ELSE I HAVE SHARED THE PLAN ALREADY👆",2021-05-21 06:26:55+00:00,107,1466074174
75,-1001466074174,"SHARING THE 4HR CHART TO MAKE IT EASY TO UNDERSTAND
https://www.tradingview.com/x/5VWihsll/",2021-05-21 06:43:39+00:00,108,1466074174
76,-1001466074174,"EXPECTING PRICE TO TAKE YESTERDAYS HIGH, AND ONCE WE CLOSE BACK IN THE RANGE, RANGE LOW IS THE NEXT TARGET,",2021-05-21 06:44:07+00:00,109,1466074174
77,-1001466074174,"ETHUSDT PLAN
https://www.tradingview.com/x/bikfzVDg/",2021-05-21 07:09:11+00:00,110,1466074174
78,-1001466074174,"OVERALL I AM BEARISH AT THE MOMENT,",2021-05-21 07:09:24+00:00,111,1466074174
79,-1001466074174,BTC NEEDS TO CLOSE ABOVE 50K AND ETH ABOVE 3200  TO EVEN THINK OF BULLISH SCENARIOS,2021-05-21 07:09:53+00:00,112,1466074174
